"No.","Time","Source","Destination","Protocol","Length","Info"
"3665","2.560672","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3546027 Ack=256035 Win=515072 Len=1200 [TCP PDU reassembled in 3670]"
"3666","2.560673","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3547227 Ack=256035 Win=515072 Len=1200 [TCP PDU reassembled in 3670]"
"3667","2.560675","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3548427 Ack=256035 Win=515072 Len=1200 [TCP PDU reassembled in 3670]"
"3668","2.560676","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3549627 Ack=256035 Win=515072 Len=1200 [TCP PDU reassembled in 3670]"
"3669","2.560677","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3550827 Ack=256035 Win=515072 Len=1200 [TCP PDU reassembled in 3670]"
"3670","2.560679","128.135.24.73","10.190.102.251","TLSv1.2","867","Application Data"
"3671","2.560680","128.135.24.73","10.190.102.251","TCP","56","443  >  59655 [ACK] Seq=3552840 Ack=258435 Win=520832 Len=0"
"3672","2.560681","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3552840 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3673","2.560864","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=259247 Ack=3554040 Win=4167232 Len=1200 [TCP PDU reassembled in 3675]"
"3674","2.560865","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=260447 Ack=3554040 Win=4167232 Len=1200 [TCP PDU reassembled in 3675]"
"3675","2.560870","10.190.102.251","128.135.24.73","TLSv1.2","882","Application Data"
"3676","2.560925","10.190.102.251","128.135.24.73","TCP","54","[TCP Window Update] 59655  >  443 [ACK] Seq=262475 Ack=3554040 Win=4194240 Len=0"
"3677","2.561240","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=262475 Ack=3554040 Win=4194240 Len=1200 [TCP PDU reassembled in 3679]"
"3678","2.561241","10.190.102.251","128.135.24.73","TCP","1254","59655  >  443 [ACK] Seq=263675 Ack=3554040 Win=4194240 Len=1200 [TCP PDU reassembled in 3679]"
"3679","2.561247","10.190.102.251","128.135.24.73","TLSv1.2","913","Application Data"
"3680","2.561289","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3554040 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3681","2.561291","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3555240 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3682","2.561292","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3556440 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3683","2.561293","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3557640 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3684","2.561293","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3558840 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
"3685","2.561294","128.135.24.73","10.190.102.251","TCP","1254","443  >  59655 [ACK] Seq=3560040 Ack=259247 Win=523264 Len=1200 [TCP PDU reassembled in 3692]"
